DATE,SALES
01/01/2001,5082
01/02/2001,5216
01/03/2001,5893
01/04/2001,5894
01/05/2001,6799
01/06/2001,6667
01/07/2001,6374
01/08/2001,6840
01/09/2001,5575
01/10/2001,6545
01/11/2001,6789
01/12/2001,7180
01/01/2002,5117
01/02/2002,5442
01/03/2002,6337
01/04/2002,6525
01/05/2002,7216
01/06/2002,6761
01/07/2002,6958
01/08/2002,7070
01/09/2002,6148
01/10/2002,6924
01/11/2002,6716
01/12/2002,7975
01/01/2003,5326
01/02/2003,5609
01/03/2003,6414
01/04/2003,6741
01/05/2003,7144
01/06/2003,7133
01/07/2003,7568
01/08/2003,7266
01/09/2003,6634
01/10/2003,7626
01/11/2003,6843
01/12/2003,8540
01/01/2004,5629
01/02/2004,5898
01/03/2004,7045
01/04/2004,7094
01/05/2004,7333
01/06/2004,7918
01/07/2004,7289
01/08/2004,7396
01/09/2004,7259
01/10/2004,7268
01/11/2004,7731
01/12/2004,9058
01/01/2005,5557
01/02/2005,6237
01/03/2005,7723
01/04/2005,7262
01/05/2005,8241
01/06/2005,8757
01/07/2005,7352
01/08/2005,8496
01/09/2005,7741
01/10/2005,7710
01/11/2005,8247
01/12/2005,8902
01/01/2006,6066
01/02/2006,6590
01/03/2006,7923
01/04/2006,7335
01/05/2006,8843
01/06/2006,9327
01/07/2006,7792
01/08/2006,9156
01/09/2006,8037
01/10/2006,8640
01/11/2006,9128
01/12/2006,9545
01/01/2007,6627
01/02/2007,6743
01/03/2007,8195
01/04/2007,7828
01/05/2007,9570
01/06/2007,9484
01/07/2007,8608
01/08/2007,9543
01/09/2007,8123
01/10/2007,9649
01/11/2007,9390
01/12/2007,10065
01/01/2008,7088
01/02/2008,7476
01/03/2008,8355
01/04/2008,8882
01/05/2008,9778
01/06/2008,9956
01/07/2008,9531
01/08/2008,9351
01/09/2008,9200
01/10/2008,9919
01/11/2008,8729
01/12/2008,10802
01/01/2009,7240
01/02/2009,7549
01/03/2009,8652
01/04/2009,9124
01/05/2009,9328
01/06/2009,10121
01/07/2009,9462
01/08/2009,8880
01/09/2009,9226
01/10/2009,9029
01/11/2009,8901
01/12/2009,10784
01/01/2010,6519
01/02/2010,7437
01/03/2010,9418
01/04/2010,9366
01/05/2010,9291
01/06/2010,10481
01/07/2010,9014
01/08/2010,9207
01/09/2010,9351
01/10/2010,9341
01/11/2010,9788
01/12/2010,11361
01/01/2011,6839
01/02/2011,7942
01/03/2011,9742
01/04/2011,9197
01/05/2011,9878
01/06/2011,11246
01/07/2011,9034
01/08/2011,10392
01/09/2011,10018
01/10/2011,9558
01/11/2011,10280
01/12/2011,11440
01/01/2012,7482
01/02/2012,8641
01/03/2012,9711
01/04/2012,9424
01/05/2012,11338
01/06/2012,11255
01/07/2012,9803
01/08/2012,11093
01/09/2012,9433
01/10/2012,10611
01/11/2012,10763
01/12/2012,11670
01/01/2013,8126
01/02/2013,8566
01/03/2013,9703
01/04/2013,10051
01/05/2013,11688
01/06/2013,10880
01/07/2013,10724
01/08/2013,10954
01/09/2013,9992
01/10/2013,11004
01/11/2013,10659
01/12/2013,12152
01/01/2014,8292
01/02/2014,8834
01/03/2014,9775
01/04/2014,10688
01/05/2014,11547
01/06/2014,11625
01/07/2014,10784
01/08/2014,10809
01/09/2014,10656
01/10/2014,11665
01/11/2014,10347
01/12/2014,13171
01/01/2015,8410
01/02/2015,9061
01/03/2015,10691
01/04/2015,11059
01/05/2015,11451
01/06/2015,12824
01/07/2015,11791
01/08/2015,11180
01/09/2015,11927
01/10/2015,11924
01/11/2015,11467
01/12/2015,14161
01/01/2016,8566
